"SUBURB_NUM","suburb","postcode","lonmin","latmin","lonmax","latmax"
555008,"INKERMAN","5550",138.21845203,-34.3212465,138.2981791,-34.2487455
555201,"PASKEVILLE","5552",137.8045629,-34.0944869,137.9778265,-33.9783093
555202,"THRINGTON","5552",137.7665264,-34.0278876,137.87250022,-33.9653408
555203,"SUNNYVALE","5552",137.77960092,-34.2005243,137.87270979,-34.0928062
555204,"KAINTON","5552",137.8726648,-34.2002811,138.0806243,-34.0927498
555205,"KULPARA","5552",137.965165,-34.1215858,138.0827108,-34.0231392
555206,"MELTON","5552",137.9360992,-34.0970378,138.02418411,-34.048276
555207,"PORT ARTHUR","5552",138.034169,-34.1528323,138.12724876,-34.0849357
555401,"THOMAS PLAIN","5554",137.87243191,-33.99087165,137.9775276,-33.90412909
555402,"WILLAMULKA","5554",137.77587346,-33.9654047,137.8909169,-33.8792185
555403,"KADINA","5554",137.6447193,-34.0083267,137.7772881,-33.9072438
555404,"NEW TOWN","5554",137.6740093,-33.961705,137.7059079,-33.9497344
555405,"WALLAROO MINES","5554",137.6837491,-33.9772508,137.7069645,-33.9566709
555406,"JERICHO","5554",137.67963961,-33.9722087,137.6890708,-33.9605097
555407,"MATTA FLAT","5554",137.7026101,-33.9769312,137.7110268,-33.9686446
555408,"JERUSALEM","5554",137.70374545,-33.9819645,137.7239667,-33.9699624
555409,"BOORS PLAIN","5554",137.6274907,-34.0972765,137.8049509,-33.9912656
555410,"CUNLIFFE","5554",137.7238224,-34.0972765,137.81780181,-34.02762311
555501,"ALFORD","5555",137.7230837,-33.9157434,137.92256151,-33.7412581
555502,"COLLINSFIELD","5555",138.1694011,-33.62628904,138.267608,-33.5754677
555503,"LAKE VIEW","5555",138.2274754,-33.6626198,138.2952524,-33.62624959
555504,"MUNDOORA","5555",138.0065838,-33.72203639,138.1793525,-33.5403509
555505,"TICKERA","5555",137.66219245,-33.8790415,137.7755944,-33.69506519
555506,"HOPE GAP","5555",138.1701726,-33.6964483,138.2278988,-33.6251296
555601,"WALLAROO PLAIN","5556",137.59939974,-33.9089814,137.77589361,-33.81773301
555602,"NORTH BEACH","5556",137.6123025,-33.91971109,137.6471817,-33.88892196
555603,"WALLAROO","5556",137.56205379,-33.9732797,137.6789831,-33.9074113
555604,"WARBURTO","5556",137.50875138,-34.03057541,137.6465924,-33.973262
555801,"MOONTA BAY","5558",137.55491833,-34.07080811,137.5848971,-34.03054064
555802,"NORTH MOONTA","5558",137.57270873,-34.0642679,137.61453692,-34.02448907
555803,"CROSS ROADS","5558",137.59883011,-34.0653289,137.62144623,-34.04747909
555804,"PARAMATTA","5558",137.61290686,-34.0596917,137.64659909,-34.02263277
555805,"MOONTA","5558",137.5590753,-34.0799564,137.61250239,-34.0587237
555806,"YELTA","5558",137.6102206,-34.07180991,137.6257029,-34.0581614
555807,"MOONTA MINES","5558",137.5886403,-34.0971145,137.61984989,-34.06696504
555808,"EAST MOONTA","5558",137.611276,-34.0971257,137.6408173,-34.0645427
555809,"PORT HUGHES","5558",137.53726503,-34.09690846,137.5753213,-34.06618775
555810,"KOOROONA","5558",137.5514425,-34.0970817,137.60176223,-34.07296376
555811,"HAMLEY","5558",137.5939969,-34.0894934,137.60638383,-34.0773484
555812,"NORTH YELTA","5558",137.62053921,-34.07253731,137.6418664,-34.0528909
555813,"NALYAPPA","5558",137.44867255,-34.2340548,137.63243,-34.0968141
555814,"AGERY","5558",137.60178969,-34.193024,137.7947976,-34.0956083
556001,"BUTE","5560",137.9109373,-33.9057201,138.1102136,-33.7729315
556002,"NINNES","5560",137.9343605,-34.0293198,138.084479,-33.9020355
557001,"PRICE","5570",137.95264581,-34.3787964,138.03646611,-34.2511819
557002,"CLINTON","5570",137.9599724,-34.2513263,138.05492195,-34.174315
